ns_probs,y_test,y_pred,act_probs
0,0,0,0.0060751983
0,1,1,0.9014434
0,0,0,0.24253157
0,1,1,0.8443497
0,0,0,0.3766964
0,0,0,0.23687024
0,1,1,0.8600964
0,1,1,0.98039484
0,1,1,0.99400276
0,1,1,0.80803186
0,0,0,0.00012778147
0,0,0,0.26203686
0,1,1,0.8702001
0,1,1,0.54094726
0,0,0,0.011900272
0,1,1,0.9557604
0,0,0,0.0018826518
0,0,0,0.00018291378
0,0,0,0.0034235774
0,0,0,0.0002686941
0,1,1,0.9033809
0,0,0,0.3236812
0,1,1,0.6520151
0,1,1,0.755148
0,1,1,0.9032106
0,1,1,0.981649
0,1,0,0.43904054
0,1,1,0.923211
0,1,0,0.27626562
0,0,0,0.22269426
0,1,0,0.39898172
0,1,1,0.72766894
0,0,0,4.293299e-05
0,1,1,0.8445482
0,1,1,0.6861219
0,0,1,0.72721523
0,0,0,0.13672927
0,0,0,0.00011835257
0,1,1,0.9913673
0,1,1,0.9063204
0,1,0,0.3829137
0,0,0,0.06661623
0,1,1,0.7808069
0,0,0,0.22921617
0,0,0,0.25793517
0,1,1,0.78184134
0,0,0,0.036598325
0,1,0,0.28989834
0,1,1,0.75575095
0,1,1,0.94807476
0,0,0,0.009256343
0,0,0,6.170271e-05
0,1,1,0.9996939
0,0,0,0.3841286
0,0,0,0.18981865
0,1,1,0.9625216
0,0,0,0.000103936734
0,0,0,0.37691265
0,0,0,0.48085308
0,1,1,0.70336735
0,0,0,0.00019043422
0,0,0,0.0017070497
0,0,0,0.16056508
0,1,1,0.90725464
0,0,0,0.31901407
0,0,0,0.050328944
0,0,0,0.00030716092
0,0,0,0.0010869897
0,0,0,0.37697732
0,1,1,0.98230493
0,0,0,0.0011475031
0,1,1,0.97291136
0,0,0,0.045923308
0,1,0,0.34969833
0,1,1,0.9632938
0,1,1,0.9997608
0,0,0,0.15167198
0,0,0,0.17660975
0,1,1,0.9999684
0,0,0,0.0010583784
0,1,1,0.95844173
0,0,0,0.2621851
0,0,0,0.0009527027
0,0,0,8.750483e-05
0,0,0,0.014935092
0,0,0,0.0007732663
0,0,0,0.00024902847
0,1,1,0.9999279
0,0,0,0.0055582365
0,1,0,0.31030637
0,0,0,6.015587e-06
0,0,0,0.00040175
0,0,0,0.21290624
0,0,0,0.016637353
0,1,1,0.8655047
0,0,1,0.5743153
0,1,0,0.35632685
0,1,1,0.94437605
0,1,1,0.53705806
0,0,0,0.04921359
0,1,1,0.9834796
0,0,0,0.35236588
0,0,0,0.026557
0,0,0,0.000103459526
0,0,0,0.00032783268
0,1,1,0.99669385
0,1,1,0.9619564
0,0,0,0.00020999018
0,0,0,6.317279e-06
0,0,0,8.625722e-06
0,0,0,4.6757927e-05
0,1,1,0.9507098
0,1,1,0.99995804
0,0,0,0.10148398
0,1,1,0.9750856
0,0,0,0.08750168
0,1,1,0.9990451
0,0,1,0.5103709
0,0,0,0.18951197
0,0,0,0.0010908211
0,0,0,0.19343404
0,1,1,0.8901944
0,1,1,0.9738225
0,1,1,0.94817847
0,1,1,0.92385083
0,0,0,0.3571974
0,1,1,0.79032594
0,0,0,0.00020760913
0,0,0,0.000118947566
0,0,1,0.59947985
0,0,0,0.00024574384
0,1,1,0.8135025
0,0,0,0.23566566
0,0,0,0.2807751
0,1,1,0.9998499
0,0,0,1.1022292e-05
0,1,0,0.29672128
0,1,1,0.9636253
0,1,1,0.9644113
0,1,0,0.4774044
0,0,0,0.43791983
0,0,0,0.092720985
0,0,0,0.00024981872
0,1,1,0.5844652
0,0,0,3.433293e-05
0,0,0,0.00016339426
0,0,0,0.00208786
0,1,1,0.98132885
0,1,1,0.9970414
0,0,0,0.00059029815
0,1,1,0.9751629
0,1,1,0.9999602
0,0,0,0.34522766
0,0,0,0.42946857
0,0,0,0.002864631
0,0,0,0.0073660347
0,1,1,0.9820051
0,0,0,0.046277557
0,1,1,0.889884
0,1,1,0.93831336
0,1,1,0.9717962
0,1,1,0.935901
0,0,0,0.00013119595
0,0,0,0.0672031
0,1,1,0.92998725
0,0,0,0.003649219
0,0,0,0.00027350854
0,0,0,0.49591073
0,0,0,0.0011309513
0,1,1,0.99986947
0,1,1,0.95524126
0,0,0,8.5061074e-05
0,0,0,0.30378693
0,0,0,0.18098557
0,0,0,0.00029473534
0,1,1,0.9792555
0,0,0,0.26988015
0,1,1,0.9162334
0,0,0,0.00062382786
0,0,0,0.20701106
0,0,0,0.06547615
0,1,1,0.8533112
0,1,1,0.9303999
0,0,0,0.0017853148
0,1,1,0.6529357
0,1,0,0.4355041
0,1,0,0.33331916
0,1,1,0.93958294
0,0,0,0.0005323797
0,0,0,0.07069949
0,0,0,0.30237415
0,1,1,0.8326328
0,1,1,0.67564386
0,0,0,0.00019216977
0,1,0,0.46007755
0,0,0,0.32588416
0,0,0,0.26934233
0,0,0,0.34094
0,0,0,0.00030225387
0,1,1,0.9695301
0,1,1,0.93505555
0,1,1,0.9788657
0,1,1,0.99950206
0,0,1,0.86305094
0,0,0,0.07143476
0,1,0,0.33914432
0,0,0,0.11217027
0,1,1,0.8851766
0,1,1,0.9976076
0,1,1,0.72453547
0,1,1,0.9526778
0,1,1,0.92378765
0,0,0,0.34882906
0,1,1,0.9569148
0,0,0,0.27265844
0,1,1,0.9825654
0,1,1,0.972163
0,1,1,0.95985615
0,1,1,0.9116688
0,0,0,0.0033779093
0,1,1,0.9999672
0,0,0,0.043244515
0,0,0,0.0016642135
0,1,1,0.9338369
0,1,0,0.26449785
0,0,0,0.00011417278
0,0,0,0.4220228
0,0,0,0.0018376652
0,1,1,0.995902
0,0,0,0.20657106
0,0,0,0.056183882
0,0,0,0.015083053
0,0,0,0.00026321874
0,0,0,0.22166282
0,1,1,0.97856116
0,1,1,0.7458572
0,0,0,0.37652898
0,1,1,0.9967885
0,1,1,0.8828988
0,1,0,0.44238916
0,0,0,0.33905673
0,1,1,0.9999043
0,1,1,0.9721306
0,1,1,0.952962
0,1,1,0.99093246
0,1,1,0.83709395
0,0,0,0.17653647
0,1,1,0.9995696
0,1,1,0.94492364
0,1,1,0.82013
0,0,0,4.0969408e-05
0,0,0,4.2559466e-05
0,0,0,0.2812596
0,1,1,0.9664946
0,0,0,0.18754931
0,1,1,0.96189076
0,1,0,0.38996506
0,0,0,5.551666e-05
0,1,1,0.9633637
0,1,1,0.98670375
0,0,0,0.0018673108
0,0,0,0.2667127
0,1,1,0.95263827
0,1,1,0.96689636
0,1,1,0.99993706
0,0,0,0.0016179204
0,0,0,0.0005427341
0,0,0,0.45149252
0,1,1,0.62074
0,1,1,0.776624
0,0,0,0.062484328
0,0,0,0.00012405241
0,1,1,0.7557659
0,0,0,0.22290437
0,0,0,0.013357573
0,1,1,0.7390407
0,0,0,0.083523974
0,0,0,0.22926609
0,0,0,0.17540413
0,1,1,0.9430856
0,1,1,0.9858737
0,1,0,0.38886932
0,1,0,0.40996733
0,1,1,0.8992108
0,0,0,0.002573048
0,1,1,0.8944914
0,0,0,7.7085366e-05
0,1,0,0.43284863
0,0,0,0.1403018
0,0,0,0.049587563
0,0,0,5.603333e-05
0,0,0,0.034217447
0,1,0,0.38778776
0,0,0,0.031899825
0,0,0,0.000574014
0,1,1,0.9739
0,0,0,0.3390706
0,0,0,6.933547e-05
0,1,1,0.99894017
0,0,0,8.741426e-05
0,1,0,0.29194367
0,1,0,0.26429713
0,1,1,0.74057794
0,1,0,0.30500865
0,0,0,0.3241649
0,1,0,0.3065717
0,1,0,0.20559864
0,0,0,0.11569218
0,0,0,2.8753719e-05
0,0,0,0.0013806078
0,0,0,0.0003851292
0,0,0,0.3931423
0,1,0,0.44255337
0,1,1,0.98278046
0,0,0,0.4899075
0,1,1,0.8936633
0,0,0,0.00023672778
